train/mean_ep_reward,stability/std_episode_reward,eval/mean_ep_length,time/total_timesteps,eval/mean_reward,train/std_ep_reward,stability/avg_episode_reward,train/mean_ep_length,eval/success_rate,timesteps,rollout/success_rate,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/std,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/learning_rate
-10.517202399999999,3.6183397377147495,50.0,1024,-50.0,3.6183397377147495,-10.517202399999999,50.0,0.0,1024,,,,,,,,,,,,,,,,,
-11.534471499999999,3.0943041708101435,50.0,2048,-47.95,3.0943041708101435,-11.534471499999999,50.0,0.0,2048,,,,,,,,,,,,,,,,,
-12.2558925,2.84960359926086,50.0,3072,-50.0,2.84960359926086,-12.2558925,50.0,0.0,3072,,,,,,,,,,,,,,,,,
-9.584262599999999,3.402718054736513,50.0,4096,-50.0,3.402718054736513,-9.584262599999999,50.0,0.0,4096,,,,,,,,,,,,,,,,,
,,,4096,,,,,,,0.012500000186264515,50.0,169,-10.35924735,1,24,,,,,,,,,,,
-10.2488141,3.929961065789315,50.0,5120,-45.75,3.929961065789315,-10.2488141,50.0,0.15,5120,,,,,,,1.0000653266906738,-0.008859096808009781,-5.675718031823635,-0.10095179080963135,5.7465362548828125,0.02728271484375,0.005791481,0.2,2.480640411376953,4,0.0001
-9.6928203,2.5723549772140335,50.0,6144,-50.0,2.5723549772140335,-9.6928203,50.0,0.0,6144,,,,,,,,,,,,,,,,,
-10.3451077,2.089865240914306,50.0,7168,-48.65,2.089865240914306,-10.3451077,50.0,0.1,7168,,,,,,,,,,,,,,,,,
-8.705301,1.6585270861140617,50.0,8192,-48.65,1.6585270861140617,-8.705301,50.0,0.1,8192,,,,,,,,,,,,,,,,,
,,,8192,,,,,,,0.019999999552965164,50.0,187,-9.360614980000001,2,43,,,,,,,,,,,
-9.2094364,1.7560382885882753,50.0,9216,-35.2,1.7560382885882753,-9.2094364,50.0,0.55,9216,,,,,,,1.0001823902130127,-0.009076209738850594,-5.676290534436703,0.18801283836364746,4.43039944767952,0.02880859375,0.006262754,0.2,1.7228801250457764,8,0.0001
-7.0948953,1.6626008193514794,50.0,10240,-30.7,1.6626008193514794,-7.0948953,50.0,0.75,10240,,,,,,,,,,,,,,,,,
-7.361739,1.2481501738214837,50.0,11264,-31.5,1.2481501738214837,-7.361739,50.0,0.75,11264,,,,,,,,,,,,,,,,,
-7.537970800000001,1.8830254615056483,50.0,12288,-33.8,1.8830254615056483,-7.537970800000001,50.0,0.7,12288,,,,,,,,,,,,,,,,,
,,,12288,,,,,,,0.019999999552965164,50.0,184,-8.23968445,3,66,,,,,,,,,,,
-8.566771200000002,2.5658023698829107,50.0,13312,-26.3,2.5658023698829107,-8.566771200000002,50.0,0.35,13312,,,,,,,0.9995682239532471,-0.010248365040752105,-5.675498872995377,0.1250331997871399,2.469580188393593,0.04571533203125,0.008140117,0.2,0.8007278442382812,12,0.0001
-7.493037200000001,2.2616560024287424,50.0,14336,-24.55,2.2616560024287424,-7.493037200000001,50.0,0.5,14336,,,,,,,,,,,,,,,,,
-7.210640100000001,2.081936478585956,50.0,15360,-19.85,2.081936478585956,-7.210640100000001,50.0,0.6,15360,,,,,,,,,,,,,,,,,
-7.1032228,1.2854223955400654,50.0,16384,-20.95,1.2854223955400654,-7.1032228,50.0,0.65,16384,,,,,,,,,,,,,,,,,
,,,16384,,,,,,,0.0,50.0,168,-7.4793186600000015,4,97,,,,,,,,,,,
-6.579059699999999,1.487149740574637,50.0,17408,-24.25,1.487149740574637,-6.579059699999999,50.0,0.6,17408,,,,,,,0.9984376430511475,-0.015017864527180791,-5.671989232301712,-0.03490400314331055,1.4020829573273659,0.08013916015625,0.011362442,0.2,0.2553711533546448,16,0.0001
-6.101769,1.0690980602091653,50.0,18432,-27.25,1.0690980602091653,-6.101769,50.0,0.35,18432,,,,,,,,,,,,,,,,,
-6.0596176,1.3267245437689168,50.0,19456,-27.75,1.3267245437689168,-6.0596176,50.0,0.35,19456,,,,,,,,,,,,,,,,,
-6.0748223999999995,0.7268492929987893,50.0,20480,-29.5,0.7268492929987893,-6.0748223999999995,50.0,0.45,20480,,,,,,,,,,,,,,,,,
,,,20480,,,,,,,0.05000000074505806,50.0,164,-6.61318315,5,124,,,,,,,,,,,
-5.6287646,1.134961755911731,50.0,21504,-20.35,1.134961755911731,-5.6287646,50.0,0.4,21504,,,,,,,0.9975293874740601,-0.01384679954207968,-5.6680635660886765,-0.10359787940979004,0.5471732844598591,0.08251953125,0.010148887,0.2,0.08377021551132202,20,0.0001
-5.2673515,1.1499782542217265,50.0,22528,-18.9,1.1499782542217265,-5.2673515,50.0,0.65,22528,,,,,,,,,,,,,,,,,
-5.0257971,1.3085556539477754,50.0,23552,-17.65,1.3085556539477754,-5.0257971,50.0,0.65,23552,,,,,,,,,,,,,,,,,
-5.8995997000000004,1.7770996209570276,50.0,24576,-19.5,1.7770996209570276,-5.8995997000000004,50.0,0.55,24576,,,,,,,,,,,,,,,,,
,,,24576,,,,,,,0.05000000074505806,50.0,157,-5.804815199999999,6,155,,,,,,,,,,,
-4.7454989,0.760552806987582,50.0,25600,-11.8,0.760552806987582,-4.7454989,50.0,0.75,25600,,,,,,,0.9970721006393433,-0.017653090588282794,-5.664096854627132,0.044003307819366455,0.2374862211290747,0.11431884765625,0.015104614,0.2,0.006496056914329529,24,0.0001
-4.689064500000001,0.6399206230273017,50.0,26624,-21.35,0.6399206230273017,-4.689064500000001,50.0,0.5,26624,,,,,,,,,,,,,,,,,
-5.018646599999999,0.8163075744029574,50.0,27648,-15.3,0.8163075744029574,-5.018646599999999,50.0,0.7,27648,,,,,,,,,,,,,,,,,
-4.113924800000001,0.5851920661346665,50.0,28672,-15.05,0.5851920661346665,-4.113924800000001,50.0,0.7,28672,,,,,,,,,,,,,,,,,
,,,28672,,,,,,,0.14000000059604645,50.0,162,-4.9257322,7,176,,,,,,,,,,,
-3.9737754,0.690788638920647,50.0,29696,-12.5,0.690788638920647,-3.9737754,50.0,0.75,29696,,,,,,,0.9946504831314087,-0.019191066618077457,-5.659792825579643,0.3057844638824463,0.11035694100428373,0.1224365234375,0.013341385,0.2,-0.018129944801330566,28,0.0001
-3.9931204,0.4039692098339179,50.0,30720,-11.1,0.4039692098339179,-3.9931204,50.0,0.8,30720,,,,,,,,,,,,,,,,,
-3.9167878000000003,0.6604171815089004,50.0,31744,-14.0,0.6604171815089004,-3.9167878000000003,50.0,0.7,31744,,,,,,,,,,,,,,,,,
